"Material;Texto breve de material;Centro;Depósito;UM básica;Nome 1;Utilização livre;Trânsito e TE;Em ctrl.qualidade;Bloqueado;Estoque em trânsito;Estoque do bloqueio avaliado na EM;Tipo de material;Grupo de mercadorias;Descrição do depósito;Marc.p/elim.nív.dep.;Estq.não disponível;Devoluções;Vasilhame vinc.;Em transfer.(centro)"
"110087;TTRAFOC2,5/6.25/7.5MVA,C/C,GST002 RECUPE;BM75;BM75;PI;HV SETE PONTES/ SÃO GONÇALO-RJ;2;0;0;0;0;0;ZAT;FETR0503;DEP. AT 1 AMPLA;;0;0;0;0"
"110357;REG TENSÃO,1F,D,7,62,219A,167kVA,ET39;BM01;BM11;CDA;PTF CENTRAL MRO / ITABORAÍ-RJ;13;0;0;0;0;0;ZMBT;FETR1400;DEP.REG. MT/BT;;0;0;0;0"
"110569;TD,1F,7,967/0,24-0,12KV,25KVA,GST001;BMTB;BMTB;CDA;INDICA / CANTAGALO-RJ;1;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"110569;TD,1F,7,967/0,24-0,12KV,25KVA,GST001;BMTF;BMTF;CDA;ELLCA / ANGRA;2;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0"
"110569;TD,1F,7,967/0,24-0,12KV,25KVA,GST001;BMUK;BMUK;CDA;PSE - SOT / NITERÓI;1;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0"
"110664;TP 15KV EXT,13800/R3-115/115/R3-SUC;BM76;BM76;PI;HV MAGÉ / MAGÉ-RJ;3;0;0;0;0;0;ZMAT;FETR1600;DEP. AT 2 AMPLA;;0;0;0;0"
"111196;TRAFO69KV,13,8kV,7,5MVAà recuperar;BM76;BM76;CDA;HV MAGÉ / MAGÉ-RJ;1;0;0;0;0;0;ZAT;FETR0503;DEP. AT 2 AMPLA;;0;0;0;0"
"111200;TRAFO138-69KV,13,8KV,83MVAà recuperar;BM76;BM76;CDA;HV MAGÉ / MAGÉ-RJ;1;0;0;0;0;0;ZAT;FETR0503;DEP. AT 2 AMPLA;;0;0;0;0"
"111203;TRAFO138-69KV,34,5KV,15MVAà recuperar;BM76;BM76;CDA;HV MAGÉ / MAGÉ-RJ;1;0;0;0;0;0;ZAT;FETR0503;DEP. AT 2 AMPLA;;0;0;0;0"
"111246;TRAFO,DIST,MONO/BI/TRIF,3KVA,SUCATA;BMAT;BMAT;PEÇ;ENGELMIG / ITAPERUNA-RJ;2;0;0;0;0;0;ZMAT;FETR1300;DEP. ENGELMIG;;0;0;0;0"
"111248;TRAFO,DIST,MONO/BI/TRIF,10KVA,INSERVÍVEL;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;8;0;0;0;0;0;ZMAT;FETR1300;DEP. PTF ENEL;;0;0;0;0"
"111248;TRAFO,DIST,MONO/BI/TRIF,10KVA,INSERVÍVEL;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;1;0;0;0;0;0;ZMAT;FETR1300;DEP.MAGÉ;;0;0;0;0"
"111268;TP,11,5KV/R3-2X115V,0,3P50,INT,PBR114010;BMBR;BMBR;UN;ELLCA / SÃO GONÇALO-RJ;11;0;0;0;0;0;ZMBT;FETM2301;DEP. ELLCA;;0;0;0;0"
"111268;TP,11,5KV/R3-2X115V,0,3P50,INT,PBR114010;BMTN;BMTN;UN;PTF ENEL / SÃO GONÇALO;1;0;0;0;0;0;ZMBT;FETM2301;DEP. PTF ENEL;;0;0;0;0"
